"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678254,-41.3963130507159,0,0,"8482","8482","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544487,-42.000873034214,0,0,"7153","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.040443548563832,-52.9712609892886,0,0,"558","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001016,37.7738135764851,0,0,"6526","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275896066,-37.3387475440677,3.86082291176043e-305,2.37344088500472e-302,"2023","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294354,37.2705374042511,4.92673245812508e-304,2.90756042748709e-301,"2149","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075097,36.9471519149029,8.09231108058251e-299,4.59207529549671e-296,"390","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005455,0.0550460855246607,36.8352639561658,5.03520683629354e-297,2.75146080232129e-294,"5327","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225735,36.6909753183984,1.01726618392663e-294,5.36026617059054e-292,"9162","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898056,-36.4661327225988,3.81873143391224e-291,1.94281253710142e-288,"11343","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406067,36.4540313413099,5.9385621797416e-291,2.92058487999692e-288,"90427","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307533,-36.2808238848576,3.24649822032124e-288,1.54512370137483e-285,"11245","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.069401356994198,36.270702943229,4.68797353266864e-288,2.16144879690603e-285,"283209","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758712,-36.2228494299744,2.65984835185827e-287,1.18919401767627e-284,"55573","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027602,36.1446992488017,4.50689778676735e-286,1.95572852782252e-283,"9497","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729395,-36.1399178936196,5.35778353379665e-286,2.21470494995917e-283,"1063","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304153759,0.0909710037522499,36.1396808426034,5.40391610400773e-286,2.21470494995917e-283,"25878","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517446,-35.7887108200628,1.65485249277908e-280,6.59883612931419e-278,"7052","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094742,35.3236809713128,2.54305707446727e-273,9.87375370439214e-271,"94241","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.065396000427478,-35.2491412924517,3.53646850208652e-272,1.33787323794319e-269,"10979","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896457,-35.1930555341797,2.5536798156345e-271,9.41924799996787e-269,"142","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353569988,35.1779683944861,4.3440722585592e-271,1.56323029518982e-268,"4311","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695776,35.1424932628331,1.51368681108393e-270,5.31736552636482e-268,"4013","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498899,-34.977490318063,4.948471098362e-268,1.69790099035426e-265,"22974","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.14991858828926e-265,"10313","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470127,34.8366769554075,6.77554401254457e-266,2.22147503024628e-263,"63895","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841927,34.829915916297,8.57647267256207e-266,2.75081038719523e-263,"6840","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.058836543318285,34.2452170379759,5.13836406693778e-257,1.6130090094383e-254,"5069","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754309,-34.2039042206944,2.11545038692252e-256,6.50236562680311e-254,"9055","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807033,-33.8997479311389,6.71887893046135e-252,2.02306815795973e-249,"4082","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486004909,33.7243085225046,2.54545117985491e-249,7.51111734151587e-247,"1281","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.0611321276797726,33.6829252261026,1.02810293781297e-248,2.97424132244953e-246,"27242","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961547204,0.0460243819592294,33.6071784047468,1.3176941120023e-247,3.73870364009269e-245,"10769","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240063,-33.5341112503088,1.53477285969077e-246,4.27246014563728e-244,"8720","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659193329,0.0509601087578481,-33.4290219047254,5.19390786189281e-245,1.41909104804383e-242,"5358","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001157976,-33.3239077682255,1.73984876203128e-243,4.66722338818353e-241,"301","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505324,-33.283941096153,6.59322840062997e-243,1.73708021112312e-240,"5205","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119071,33.0977814365326,3.19851269730308e-240,8.2790976028087e-238,"57326","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483189413,0.0522701778398872,32.9854403246057,1.31369113041058e-238,3.34175843759961e-236,"81848","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545455,-32.9413586521151,5.62520534797445e-238,1.40668270684771e-235,"72","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754696903,0.0515037594735041,32.7383391854426,4.44954348187909e-235,1.09414274219407e-232,"5796","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453735,32.6580003619393,6.16939827406305e-234,1.49218528091027e-231,"83872","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085653,0.0389873664648015,32.6047852450913,3.50828510271278e-233,8.34858683958457e-231,"3488","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469045e-233,2.28796268468036e-230,"8989","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.0428974821221969,32.3715649486168,6.89943142003465e-230,1.59053454954986e-227,"5159","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480701028,-32.0544155435823,1.90535970713597e-225,4.32487340293603e-223,"7534","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199115945,0.0759164041352394,31.779192107962,1.25506730571475e-221,2.80564591341143e-219,"10221","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130954275,0.0449230268066048,-31.7122734333051,1.05241788800415e-220,2.31751843576316e-218,"808","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255239,0.0437425179473113,31.611334176463,2.579526460287e-219,5.59681373456977e-217,"2040","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704494,31.5755460911244,7.99970833080929e-219,1.71054632917044e-216,"7857","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.3264077758026,0.137032426265836,31.5721460511076,8.90724413004887e-219,1.87739256992487e-216,"4929","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.047410256855522,31.411428963151,1.41265544470548e-216,2.9355378072091e-214,"4982","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619597,-31.3751518190589,4.41710004896498e-216,9.05137418367073e-214,"891","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409629884,31.3716617370041,4.92877345821417e-216,9.96152378116327e-214,"8728","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139992718,0.0432786266468068,-30.7505460094209,1.20240107721113e-207,2.39732776934771e-205,"2318","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854243808,0.0685910537341741,30.687508470064,8.35466517623432e-207,1.64352973346882e-204,"2791","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019159,30.6666297651965,1.58631168024589e-206,3.07953191188787e-204,"93145","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278218,-30.5292805152599,1.06537508793168e-204,2.04136935679791e-202,"7430","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887576,-30.408824172515,4.19913010100802e-203,7.94281609106055e-201,"147372","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.34696093568997e-200,"9518","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020603,0.0574719541070902,30.2794517298541,2.13754238025103e-201,3.94216253477797e-199,"4884","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259639,-30.135233472468,1.67481171924895e-199,3.05063853158012e-197,"88455","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.052662574578627,-30.0569968334814,1.7688478598118e-198,3.18263186873943e-196,"84617","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.109401846260639,-30.0096634210001,7.34104325629985e-198,1.30493677353552e-195,"55771","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282825453,0.0507616642849857,-29.9452913860458,5.06700387154768e-197,8.89983037152553e-195,"5829","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680001687,0.112773759026444,-29.8265911241652,1.76651997406299e-195,3.06626302321474e-193,"10112","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.0515649231566346,29.8149196231878,2.50291232424245e-195,4.29394981765966e-193,"7035","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544839,29.7021593738716,7.20107911120035e-194,1.22040770807339e-191,"79971","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201158,29.7017969567224,7.27910250172551e-194,1.22040770807339e-191,"8507","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053260098,0.0575941295653133,-29.6620601004769,2.37079357287784e-193,3.93018970497075e-191,"1464","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322117,0.0469878372112559,29.6103808090975,1.09851400229112e-192,1.80083062108924e-190,"3624","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088446,-29.579508099211,2.74196632636987e-192,4.44560122849023e-190,"22800","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.0663760811210994,29.48005362336,5.18784996081692e-191,8.3197324262927e-189,"11103","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183329818,0.0557716982088856,-29.4545779679424,1.09998439730639e-190,1.7450720212751e-188,"1265","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.046050145848107,-29.4445921079805,1.47655804398115e-190,2.3175678064785e-188,"4853","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559756,-29.4263407761977,2.5283548140694e-190,3.92666809755578e-188,"259266","259266","assembly factor for spindle microtubules"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375106,29.3531100696577,2.1808180547876e-189,3.3516447479517e-187,"57568","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412410088,0.0593370019850978,29.3441539991887,2.83730010999132e-189,4.31562121884659e-187,"23362","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517643,29.1497600192558,8.41273252887199e-187,1.26654546664263e-184,"3099","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831423,29.0450996897049,1.77448669753884e-185,2.64452290257455e-183,"2114","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330929452,0.052055163279959,-28.962416296463,1.95795248640246e-184,2.88876309843819e-182,"8140","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448289,-28.9326537792228,4.63889644337241e-184,6.77646318074421e-182,"10797","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.0486375327335144,-28.8487364554693,5.25520470184413e-183,7.60149903637336e-181,"4008","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182831,-28.807108668265,1.74737916492641e-182,2.50299341741012e-180,"4907","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936536551,0.0644924712570583,28.7838150590694,3.42011533598746e-182,4.85195977568836e-180,"4163","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.093436167795457,-28.7501965637626,9.00647321308557e-182,1.26553815034157e-179,"9353","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816427449,0.0561603398586633,-28.7348361554752,1.40128319736991e-181,1.95042757490525e-179,"3838","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.4751760959328,0.0513457658429163,-28.7302384474283,1.59943723057014e-181,2.20542961680671e-179,"55379","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294139,28.7214673758139,2.05836700239026e-181,2.8119580327098e-179,"55608","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302051,28.6078863178847,5.36043432738871e-180,7.25576587764157e-178,"9120","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050118,0.0428453768679285,-28.5957522156443,7.58767798444948e-180,1.01771455438698e-177,"4627","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791429,-28.4493217297214,4.96814084836929e-178,6.60359910602166e-176,"6241","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487083,28.4446019542175,5.68297280165849e-178,7.48630184961334e-176,"1462","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.0530931788051683,28.3665604897336,5.23016681836022e-177,6.82883904761829e-175,"2589","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351227,0.0724505356556458,28.3074730221466,2.79630988086647e-176,3.61901368265823e-174,"5922","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840292,28.274136331932,7.18932920160792e-176,9.22359678613245e-174,"114882","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530642751,0.0365228229247381,-28.2049749700419,5.08117177234769e-175,6.46272485596706e-173,"4478","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709684,-28.2019640588096,5.5320946987106e-175,6.97611326365609e-173,"991","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213805922,-28.1195845475768,5.64500035745716e-174,7.05816400626466e-172,"64114","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536824,28.0352704905667,6.04059391086838e-173,7.48932122360942e-171,"3728","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179021,-27.9348651225435,1.00678481501383e-171,1.2378419300595e-169,"5806","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.095223006599413,27.8855762833507,3.9915744622329e-171,4.86708178642845e-169,"131583","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045359,27.8775640361235,4.99214871292082e-171,6.03722640249457e-169,"6299","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462029,-27.8678971566128,6.53815283306337e-171,7.84259405683064e-169,"3799","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702903,27.8074527793926,3.52495005097487e-170,4.19412202032929e-168,"639","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550524,-27.7146638456026,4.64845066232191e-169,5.4866592857518e-167,"7468","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691426,27.659166000626,2.165199004881e-168,2.53534493000113e-166,"167227","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895217,27.6420113823011,3.48151090058305e-168,4.04458360844112e-166,"51334","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461025262,0.10292788446336,27.5035732543435,1.59110643198169e-166,1.8339987732389e-164,"80323","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232796,-27.4669575015751,4.3586048487651e-166,4.98502759214576e-164,"4162","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.0634971545468511,-27.4390202305666,9.39453901891183e-166,1.06620791296173e-163,"5127","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110962,27.3907177503732,3.53780645399855e-165,3.98448827651104e-163,"1288","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626786,-27.3631999558211,7.52223196996867e-165,8.40780382461498e-163,"29127","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.074462512409694,-27.3628785146653,7.58877530124198e-165,8.41840532289655e-163,"10923","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500919,-27.3585778356668,8.53774309058915e-165,9.4004374297427e-163,"5347","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525793,-27.3447361397188,1.24733546078555e-164,1.36319906580963e-162,"57724","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905132,27.2869764427243,6.05493783129311e-164,6.56871711491901e-162,"55824","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268572e-164,6.77214939124563e-162,"55117","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.1313694356951,0.0788327305720943,27.0366054838849,5.48949071158843e-161,5.86898159121563e-159,"11173","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045888,-27.0326997212275,6.10171879426197e-161,6.47660137342022e-159,"332","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.111928825364899,-27.0094864846761,1.14349478659347e-160,1.20508014867143e-158,"2305","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026632,-26.8589364660639,6.63278235149347e-159,6.94043055417977e-157,"79647","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751208131,0.0535105842544737,-26.84604423771,9.38104913568914e-159,9.74704217943364e-157,"84790","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.0754066735931197,-26.8434256913521,1.00651912777957e-158,1.03847435043774e-156,"2355","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598338,26.8166716709332,2.06535898801271e-158,2.11613239646802e-156,"5924","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667852,0.0510598841190613,-26.8038488588658,2.91410850442501e-158,2.96515564650253e-156,"7114","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093561,26.7820894066197,5.22457868912058e-158,5.27968725885514e-156,"1030","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517076,-26.667261333735,1.12888645630613e-156,1.13303338614562e-154,"8727","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328693,-26.6284944333387,3.17636687934231e-156,3.1664943876903e-154,"11078","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877148,-26.6096898008773,5.24358146539531e-156,5.19220140539882e-154,"5732","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.9663207077173e-154,"650","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560625,-26.5299995900835,4.37001752603157e-155,4.26988334960727e-153,"3939","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182814,0.0415181804493362,26.4886213684183,1.31081166253669e-154,1.27234968875436e-152,"4323","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870152,-26.4103059601969,1.04332687756409e-153,1.00609442820788e-151,"7083","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.0509516581236719,-26.3952464091657,1.55363482862725e-153,1.48846287412769e-151,"3655","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431436,26.3897768217261,1.79527827121105e-153,1.70887326538373e-151,"26575","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365486612,0.0502228270275169,26.3717463403732,2.89070201996733e-153,2.73393702580756e-151,"6383","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.0652353704809716,26.365307341666,3.42646730956188e-153,3.22000628568637e-151,"9766","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326172024,0.0638947453537294,26.2751381576991,3.69002687399448e-152,3.44573775309586e-150,"1848","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.0382024978411131,-26.2627311506714,5.11421310010312e-152,4.74560377854852e-150,"9948","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339452,0.134086229283587,26.1601163828379,7.561134122507e-151,6.97231080271677e-149,"140876","140876","RIPOR family member 3"
"ENSG00000085117",3114.20548141785,1.42947650463429,0.054774623804733,26.0974225898885,3.8998582469848e-150,3.57382040844806e-148,"3732","3732","CD82 molecule"
"ENSG00000101290",1758.73428502496,1.54280726947101,0.0591378479276276,26.0883228513673,4.94672752445821e-150,4.50518628986768e-148,"8760","8760","CDP-diacylglycerol synthase 2"
"ENSG00000109189",2091.9060865614,1.46011820343235,0.0559766931398611,26.0843955141144,5.48121227254249e-150,4.96133778337987e-148,"64854","64854","ubiquitin specific peptidase 46"
"ENSG00000117143",1623.79807423536,-1.69881909645385,0.0653660673343995,-25.9893116678267,6.54084648574601e-149,5.88436884455467e-147,"6675","6675","UDP-N-acetylglucosamine pyrophosphorylase 1"
"ENSG00000109321",3907.19054249844,7.47916568575078,0.288067503948618,25.9632398074474,1.28882642605824e-148,1.15244515697353e-146,"374","374","amphiregulin"
